_id,country,followers,geo,location,timestamp,tweet,user_verified,userid,username
5d193f27bda47b0192c0aad4,,11833,,France,2019-06-30 23:00:50,Even the NSA is urging Windows users to patch BlueKeep (CVE-2019-0708) https://t.co/K9aLveh7eE,False,115889273.0,maher275
5d193f27bda47b0192c0aad5,,11833,,France,2019-06-30 23:00:50,Even the NSA is urging Windows users to patch BlueKeep (CVE-2019-0708) https://t.co/K9aLveh7eE,False,115889273.0,maher275
5d193f7ebda47b0192c0aae2,,540,,"İstanbul, Türkiye",2019-06-30 23:02:17,CVE-2019-11828: Cross-site scripting (XSS) vulnerability in Chart in Synology Office before 3.1.4-2771 allows… https://t.co/KWDd2N2ABf,False,3465979397.0,threatmeter
5d193f7ebda47b0192c0aae3,,540,,"İstanbul, Türkiye",2019-06-30 23:02:17,CVE-2019-11828: Cross-site scripting (XSS) vulnerability in Chart in Synology Office before 3.1.4-2771 allows… https://t.co/KWDd2N2ABf,False,3465979397.0,threatmeter
5d193f7ebda47b0192c0aae4,,540,,"İstanbul, Türkiye",2019-06-30 23:02:17,CVE-2019-11829: OS command injection vulnerability in drivers_syno_import_user.php in Synology Calendar before 2.3… https://t.co/FH14cILjpM,False,3465979397.0,threatmeter
5d193f7ebda47b0192c0aae5,,540,,"İstanbul, Türkiye",2019-06-30 23:02:17,CVE-2019-11829: OS command injection vulnerability in drivers_syno_import_user.php in Synology Calendar before 2.3… https://t.co/FH14cILjpM,False,3465979397.0,threatmeter
5d193f7fbda47b0192c0aae6,,540,,"İstanbul, Türkiye",2019-06-30 23:02:17,CVE-2019-13075: Tor Browser through 8.5.3 has an information exposure vulnerability. It allows remote attackers to… https://t.co/psbByqGxPH,False,3465979397.0,threatmeter
5d193f7fbda47b0192c0aae7,,540,,"İstanbul, Türkiye",2019-06-30 23:02:17,CVE-2019-13075: Tor Browser through 8.5.3 has an information exposure vulnerability. It allows remote attackers to… https://t.co/psbByqGxPH,False,3465979397.0,threatmeter
5d193f7fbda47b0192c0aae8,,540,,"İstanbul, Türkiye",2019-06-30 23:02:18,CVE-2019-13082: Chamilo LMS 1.11.8 and 2.x allows remote code execution through an lp_upload.php unauthenticated… https://t.co/7ycBBjlVJ9,False,3465979397.0,threatmeter
5d193f7fbda47b0192c0aae9,,540,,"İstanbul, Türkiye",2019-06-30 23:02:18,CVE-2019-13082: Chamilo LMS 1.11.8 and 2.x allows remote code execution through an lp_upload.php unauthenticated… https://t.co/7ycBBjlVJ9,False,3465979397.0,threatmeter
5d193f7fbda47b0192c0aaea,,540,,"İstanbul, Türkiye",2019-06-30 23:02:18,CVE-2019-13083: XnView Classic 2.48 has a User Mode Write AV starting at xnview+0x0000000000384e2a. (CVSS:0.0… https://t.co/1u2WVdLJvq,False,3465979397.0,threatmeter
5d193f7fbda47b0192c0aaeb,,540,,"İstanbul, Türkiye",2019-06-30 23:02:18,CVE-2019-13083: XnView Classic 2.48 has a User Mode Write AV starting at xnview+0x0000000000384e2a. (CVSS:0.0… https://t.co/1u2WVdLJvq,False,3465979397.0,threatmeter
